project_id_prefix,sub_category_zh,sub_category_en,major_code,isco_code,isco_description
TECH-0405,技术项目经理,Technical Project Manager,TECH,1330,
TECH-0501,区块链开发工程师,Blockchain Developer,TECH,2514,
TECH-0502,物联网工程师,IoT Engineer,TECH,2514,
TECH-0503,机器人流程自动化工程师,RPA Developer,TECH,2514,
TECH-0504,增强现实/虚拟现实开发工程师,AR/VR Developer,TECH,2514,
TECH-0505,量子计算研究员,Quantum Computing Researcher,TECH,2120,
TECH-0506,AI提示工程师,AI Prompt Engineer,TECH,2511,
TECH-0507,数据标注师,Data Annotator,TECH,4132,
TECH-0508,数字孪生工程师,Digital Twin Engineer,TECH,2514,
TECH-0509,边缘计算工程师,Edge Computing Engineer,TECH,2514,
TECH-0510,Web3开发工程师,Web3 Developer,TECH,2514,
TECH-0511,AI安全研究员,AI Safety Researcher,TECH,2511,
TECH-0512,MLOps工程师,MLOps Engineer,TECH,2522,
TECH-0513,合成数据工程师,Synthetic Data Engineer,TECH,2511,
TECH-0514,数字无障碍专家,Digital Accessibility Specialist,TECH,2514,
MED-0101,内科医生,Internal Medicine Physician,MED,2212,
MED-0102,外科医生,Surgeon,MED,2212,
MED-0103,全科医生,General Practitioner,MED,2211,
MED-0104,麻醉科医生,Anesthesiologist,MED,2212,
MED-0105,放射科医生,Radiologist,MED,2212,
MED-0106,病理科医生,Pathologist,MED,2212,
MED-0107,急诊科医生,Emergency Medicine Physician,MED,2212,
MED-0108,儿科医生,Pediatrician,MED,2212,
MED-0109,妇产科医生,Obstetrician/Gynecologist,MED,2212,
MED-0110,心血管科医生,Cardiologist,MED,2212,
MED-0111,神经内科医生,Neurologist,MED,2212,
MED-0112,肿瘤科医生,Oncologist,MED,2212,
MED-0113,骨科医生,Orthopedic Surgeon,MED,2212,
MED-0114,泌尿科医生,Urologist,MED,2212,
MED-0115,皮肤科医生,Dermatologist,MED,2212,
MED-0116,耳鼻喉科医生,Otolaryngologist (ENT),MED,2212,
MED-0117,整形外科医生,Plastic Surgeon,MED,2212,
MED-0118,神经外科医生,Neurosurgeon,MED,2212,
MED-0119,心胸外科医生,Cardiothoracic Surgeon,MED,2212,
MED-0120,重症医学科医生,Intensivist (ICU Physician),MED,2212,
MED-0121,内分泌科医生,Endocrinologist,MED,2212,
MED-0122,肾内科医生,Nephrologist,MED,2212,
MED-0123,风湿免疫科医生,Rheumatologist,MED,2212,
MED-0124,消化科医生,Gastroenterologist,MED,2212,
MED-0125,血液科医生,Hematologist,MED,2212,
MED-0126,感染科医生,Infectious Disease Physician,MED,2212,
MED-0127,呼吸科医生,Pulmonologist,MED,2212,
MED-0128,老年科医生,Geriatrician,MED,2212,
MED-0129,新生儿科医生,Neonatologist,MED,2212,
MED-0130,运动医学科医生,Sports Medicine Physician,MED,2212,
MED-0201,注册护士,Registered Nurse,MED,2221,
MED-0202,护理师,Nurse Practitioner,MED,2221,
MED-0203,助产士,Midwife,MED,2222,
MED-0204,ICU护士,ICU Nurse,MED,2221,
MED-0205,手术室护士,Operating Room Nurse,MED,2221,
MED-0206,护士长,Head Nurse / Nurse Manager,MED,1342,
MED-0207,社区护士,Community Health Nurse,MED,2221,
MED-0208,护理助理,Nursing Assistant,MED,5321,
MED-0209,麻醉护士,Nurse Anesthetist,MED,2221,
MED-0210,儿科护士,Pediatric Nurse,MED,2221,
MED-0211,肿瘤科护士,Oncology Nurse,MED,2221,
MED-0212,急诊护士,Emergency Room Nurse,MED,2221,
MED-0213,透析护士,Dialysis Nurse,MED,2221,
MED-0301,药剂师,Pharmacist,MED,2262,
MED-0302,临床药师,Clinical Pharmacist,MED,2262,
MED-0303,药品研发科学家,Pharmaceutical R&D Scientist,MED,2131,
MED-0304,药品注册专员,Drug Regulatory Affairs Specialist,MED,2262,
MED-0305,药品销售代表,Pharmaceutical Sales Representative,MED,2433,
MED-0306,药品质量管理员,Pharmaceutical QA Specialist,MED,2262,
MED-0307,药物警戒专员,Pharmacovigilance Specialist,MED,2262,
MED-0401,物理治疗师,Physical Therapist,MED,2264,
MED-0402,职业治疗师,Occupational Therapist,MED,2269,
MED-0403,言语治疗师,Speech-Language Pathologist,MED,2266,
MED-0404,康复医学科医生,Rehabilitation Physician,MED,2212,
MED-0405,呼吸治疗师,Respiratory Therapist,MED,2269,
MED-0406,音乐治疗师,Music Therapist,MED,2269,
MED-0407,艺术治疗师,Art Therapist,MED,2269,
MED-0408,运动治疗师,Exercise Therapist / Kinesiologist,MED,2269,
MED-0409,假肢矫形师,Prosthetist / Orthotist,MED,2269,
MED-0410,听力师,Audiologist,MED,2266,
MED-0501,流行病学家,Epidemiologist,MED,2212,
MED-0502,公共卫生官员,Public Health Officer,MED,1342,
MED-0503,卫生教育专家,Health Education Specialist,MED,2269,
MED-0504,营养师,Dietitian / Nutritionist,MED,2265,
MED-0505,卫生统计师,Biostatistician,MED,2120,
MED-0506,环境卫生工程师,Environmental Health Engineer,MED,2143,
MED-0507,疾控中心研究员,CDC Researcher,MED,2212,
MED-0601,中医师,Traditional Chinese Medicine Practitioner,MED,2230,
MED-0602,针灸师,Acupuncturist,MED,2230,
MED-0603,阿育吠陀医师,Ayurveda Practitioner,MED,2230,
MED-0604,脊椎指压治疗师,Chiropractor,MED,2269,
MED-0605,自然疗法医师,Naturopathic Physician,MED,2230,
MED-0606,推拿师,Tui Na Massage Therapist,MED,2230,
MED-0607,中药师,Chinese Herbal Medicine Pharmacist,MED,2262,
MED-0608,整骨师,Osteopath,MED,2269,
MED-0609,顺势疗法医师,Homeopath,MED,2230,
MED-0701,牙科医生,Dentist,MED,2261,
MED-0702,牙科卫生师,Dental Hygienist,MED,3251,
MED-0703,正畸医生,Orthodontist,MED,2261,
MED-0704,口腔颌面外科医生,Oral & Maxillofacial Surgeon,MED,2261,
MED-0705,牙科技师,Dental Technician,MED,3214,
MED-0706,牙周病医生,Periodontist,MED,2261,
MED-0801,眼科医生,Ophthalmologist,MED,2212,
MED-0802,验光师,Optometrist,MED,2267,
MED-0803,配镜师,Optician / Dispensing Optician,MED,3254,
MED-0901,精神科医生,Psychiatrist,MED,2212,
MED-0902,临床心理学家,Clinical Psychologist,MED,2634,
MED-0903,心理咨询师,Counseling Psychologist,MED,2634,
MED-0904,精神科护士,Psychiatric Nurse,MED,2221,
MED-0905,心理治疗师,Psychotherapist,MED,2634,
MED-0906,成瘾咨询师,Addiction Counselor,MED,2634,
MED-0907,神经心理学家,Neuropsychologist,MED,2634,
MED-0908,儿童心理学家,Child Psychologist,MED,2634,
MED-0909,法医心理学家,Forensic Psychologist,MED,2634,
MED-1001,放射技师,Radiologic Technologist,MED,3211,
MED-1002,医学检验技师,Medical Laboratory Technologist,MED,3212,
MED-1003,超声技师,Diagnostic Medical Sonographer,MED,3211,
MED-1004,核医学技师,Nuclear Medicine Technologist,MED,3211,
MED-1005,病理技师,Histotechnologist,MED,3212,
MED-1006,心电图技师,Electrocardiograph Technician,MED,3211,
MED-1007,MRI技师,MRI Technologist,MED,3211,
MED-1101,医院管理者,Hospital Administrator,MED,1342,
MED-1102,医疗信息化专家,Health Informatics Specialist,MED,2529,
MED-1103,健康保险管理师,Health Insurance Manager,MED,1346,
MED-1104,医疗质量管理师,Healthcare Quality Manager,MED,1342,
MED-1105,临床研究协调员,Clinical Research Coordinator,MED,2269,
MED-1106,医疗编码员,Medical Coder,MED,3252,
MED-1107,急救技术员/急救员,Emergency Medical Technician (EMT),MED,3258,
MED-1108,护理人员(院前急救),Paramedic,MED,3258,
MED-1109,病案编码员,Health Information Technician,MED,3252,
MED-1110,医疗器械技师,Biomedical Equipment Technician,MED,3211,
MED-1111,临床试验管理员,Clinical Trial Manager,MED,2269,
MED-1112,远程医疗协调员,Telemedicine Coordinator,MED,2269,
MED-1113,医疗翻译,Medical Interpreter,MED,2643,
MED-1114,健康数据分析师,Health Data Analyst,MED,2120,
MED-1115,患者体验官,Patient Experience Officer,MED,1342,
MED-1201,小动物兽医,Small Animal Veterinarian,MED,2250,
MED-1202,大动物/农场兽医,Large Animal / Farm Veterinarian,MED,2250,
MED-1203,动物外科兽医,Veterinary Surgeon,MED,2250,
MED-1204,动物急诊兽医,Emergency Veterinarian,MED,2250,
MED-1205,兽医公共卫生专家,Veterinary Public Health Specialist,MED,2250,
MED-1206,动物园兽医,Zoo / Wildlife Veterinarian,MED,2250,
FIN-0101,银行柜员,Bank Teller,FIN,4211,
FIN-0102,客户经理(银行),Bank Relationship Manager,FIN,2412,
FIN-0103,信贷审批员,Credit Analyst,FIN,2413,
FIN-0104,风控专员,Risk Management Specialist,FIN,2413,
FIN-0105,合规专员,Compliance Officer,FIN,2413,
FIN-0106,私人银行家,Private Banker,FIN,2412,
FIN-0107,贸易融资专员,Trade Finance Specialist,FIN,2413,
FIN-0108,银行分行行长,Bank Branch Manager,FIN,1346,
FIN-0109,外汇交易员(银行),Bank FX Trader,FIN,3311,
FIN-0110,信用卡业务经理,Credit Card Business Manager,FIN,1346,
FIN-0111,金融科技产品经理,FinTech Product Manager,FIN,2511,
FIN-0112,反洗钱分析师,Anti-Money Laundering (AML) Analyst,FIN,2413,
FIN-0201,股票分析师,Equity Analyst,FIN,2413,
FIN-0202,基金经理,Fund Manager,FIN,2411,
FIN-0203,投行分析师,Investment Banking Analyst,FIN,2411,
FIN-0204,PE投资经理,Private Equity Manager,FIN,2411,
FIN-0205,风险投资人,Venture Capitalist,FIN,2411,
FIN-0206,量化交易员,Quantitative Trader,FIN,2413,
FIN-0207,债券分析师,Fixed Income Analyst,FIN,2413,
FIN-0208,证券经纪人,Stockbroker,FIN,3311,
FIN-0209,外汇交易员,Forex Trader,FIN,3311,
FIN-0210,财富管理顾问,Wealth Management Advisor,FIN,2412,
FIN-0211,信托经理,Trust Manager,FIN,2411,
FIN-0212,衍生品交易员,Derivatives Trader,FIN,3311,
FIN-0213,商品期货交易员,Commodity Futures Trader,FIN,3311,
FIN-0214,投资组合分析师,Portfolio Analyst,FIN,2413,
FIN-0215,资产管理经理,Asset Manager,FIN,2411,
FIN-0301,精算师,Actuary,FIN,2120,
FIN-0302,保险代理人,Insurance Agent,FIN,3321,
FIN-0303,保险理赔员,Claims Adjuster,FIN,3315,
FIN-0304,保险精算分析师,Actuarial Analyst,FIN,2120,
FIN-0305,保险核保师,Insurance Underwriter,FIN,3321,
FIN-0306,再保险专员,Reinsurance Specialist,FIN,3321,
FIN-0307,保险产品开发师,Insurance Product Developer,FIN,3321,
FIN-0308,保险经纪人,Insurance Broker,FIN,3321,
FIN-0309,损失评估师,Loss Adjuster,FIN,3315,
FIN-0401,注册会计师,Certified Public Accountant (CPA),FIN,2411,
FIN-0402,审计师,Auditor,FIN,2411,
FIN-0403,税务师,Tax Advisor,FIN,2411,
FIN-0404,管理会计师,Management Accountant,FIN,2411,
FIN-0405,法务会计师,Forensic Accountant,FIN,2411,
FIN-0406,会计文员,Bookkeeper / Accounting Clerk,FIN,3313,
FIN-0407,内部审计师,Internal Auditor,FIN,2411,
FIN-0408,财务分析师,Financial Analyst,FIN,2411,
FIN-0409,出纳员,Cashier / Treasury Clerk,FIN,4211,
FIN-0410,ERP财务顾问,ERP Financial Consultant,FIN,2411,
FIN-0501,战略咨询顾问,Strategy Consultant,FIN,2421,
FIN-0502,IT咨询顾问,IT Consultant,FIN,2421,
FIN-0503,人力资源咨询顾问,HR Consultant,FIN,2421,
FIN-0504,运营咨询顾问,Operations Consultant,FIN,2421,
FIN-0505,财务咨询顾问,Financial Advisory Consultant,FIN,2412,
FIN-0506,ESG咨询顾问,ESG Consultant,FIN,2421,
FIN-0507,数字化转型咨询顾问,Digital Transformation Consultant,FIN,2421,
FIN-0508,供应链咨询顾问,Supply Chain Consultant,FIN,2421,
FIN-0601,房地产经纪人,Real Estate Agent,FIN,3334,
FIN-0602,房地产估价师,Real Estate Appraiser,FIN,3334,
FIN-0603,物业管理经理,Property Manager,FIN,1346,
FIN-0604,土地规划师,Land Use Planner,FIN,2164,
FIN-0605,房地产开发商,Real Estate Developer,FIN,1120,
FIN-0606,REITs分析师,REIT Analyst,FIN,2413,
FIN-0607,商业地产经理,Commercial Real Estate Manager,FIN,1346,
FIN-0701,伊斯兰教法合规分析师,Sharia Compliance Analyst,FIN,2413,
FIN-0702,伊斯兰银行产品经理,Islamic Banking Product Manager,FIN,1346,
FIN-0703,伊斯兰金融顾问,Islamic Finance Advisor,FIN,2412,
FIN-0704,塔卡福尔(伊斯兰保险)专员,Takaful Specialist,FIN,3321,
FIN-0705,穆拉巴哈融资专员,Murabaha Finance Specialist,FIN,2412,
FIN-0801,首席执行官(CEO),Chief Executive Officer (CEO),FIN,1120,
FIN-0802,首席运营官(COO),Chief Operating Officer (COO),FIN,1120,
FIN-0803,首席财务官(CFO),Chief Financial Officer (CFO),FIN,1211,
FIN-0804,首席营销官(CMO),Chief Marketing Officer (CMO),FIN,1221,
FIN-0805,首席信息官(CIO),Chief Information Officer (CIO),FIN,1330,
FIN-0806,总经理,General Manager,FIN,1120,
FIN-0807,企业家/创业者,Entrepreneur,FIN,1120,
FIN-0808,董事会秘书,Corporate Secretary,FIN,2421,
FIN-0809,首席技术官(CTO),Chief Technology Officer (CTO),FIN,1330,
FIN-0810,首席人力资源官(CHRO),Chief Human Resources Officer (CHRO),FIN,1212,
FIN-0811,首席数据官(CDO),Chief Data Officer (CDO),FIN,1330,
FIN-0812,首席可持续发展官(CSO),Chief Sustainability Officer (CSO),FIN,1120,
FIN-0813,投资者关系总监,Investor Relations Director,FIN,2422,
FIN-0901,招聘专员,Recruiter,FIN,2423,
FIN-0902,培训与发展经理,Training & Development Manager,FIN,1212,
FIN-0903,薪酬福利经理,Compensation & Benefits Manager,FIN,1212,
FIN-0904,HRBP(人力资源业务伙伴),HR Business Partner,FIN,2423,
FIN-0905,人力资源总监,HR Director,FIN,1212,
FIN-0906,劳动关系专员,Labor Relations Specialist,FIN,2423,
FIN-0907,猎头顾问,Executive Search Consultant / Headhunter,FIN,2423,
FIN-0908,组织发展顾问,Organizational Development Consultant,FIN,2423,
FIN-0909,员工关系专员,Employee Relations Specialist,FIN,2423,
FIN-0910,人才测评顾问,Talent Assessment Consultant,FIN,2423,
FIN-1001,采购经理,Procurement Manager,FIN,1324,
FIN-1002,供应链经理,Supply Chain Manager,FIN,1324,
FIN-1003,国际贸易专员,International Trade Specialist,FIN,2433,
FIN-1004,采购分析师,Procurement Analyst,FIN,2413,
FIN-1005,供应链分析师,Supply Chain Analyst,FIN,2413,
FIN-1006,合同管理专员,Contract Manager,FIN,2421,
FIN-1007,进出口经理,Import/Export Manager,FIN,1324,
FIN-1008,关务经理,Customs Compliance Manager,FIN,1324,
FIN-1101,市场营销经理,Marketing Manager,FIN,1221,
FIN-1102,销售经理,Sales Manager,FIN,1221,
FIN-1103,大客户经理,Key Account Manager,FIN,2433,
FIN-1104,渠道经理,Channel Manager,FIN,1221,
FIN-1105,商务拓展经理(BD),Business Development Manager,FIN,2433,
FIN-1106,CRM分析师,CRM Analyst,FIN,2431,
FIN-1107,数字营销专员,Digital Marketing Specialist,FIN,2431,
FIN-1108,产品营销经理,Product Marketing Manager,FIN,1221,
FIN-1201,加密货币分析师,Cryptocurrency Analyst,FIN,2413,
FIN-1202,DeFi策略师,DeFi Strategist,FIN,2413,
FIN-1203,代币经济学设计师,Tokenomics Designer,FIN,2413,
FIN-1204,智能合约审计师,Smart Contract Auditor,FIN,2529,
FIN-1205,加密合规专员,Crypto Compliance Specialist,FIN,2413,
FIN-1206,量化加密交易员,Quantitative Crypto Trader,FIN,3311,
EDU-0101,小学教师,Elementary School Teacher,EDU,2341,
EDU-0102,中学教师,Secondary School Teacher,EDU,2330,
EDU-0103,特殊教育教师,Special Education Teacher,EDU,2352,
EDU-0104,学校心理咨询师,School Counselor,EDU,2634,
EDU-0105,国际学校教师,International School Teacher,EDU,2330,
EDU-0106,体育教师,Physical Education Teacher,EDU,2342,
EDU-0107,音乐教师,Music Teacher,EDU,2354,
EDU-0108,美术教师,Art Teacher,EDU,2354,
EDU-0109,高中数学教师,High School Math Teacher,EDU,2330,
EDU-0110,信息技术教师,IT / Computer Science Teacher,EDU,2330,
EDU-0111,外语教师(K12),Foreign Language Teacher (K-12),EDU,2330,
EDU-0112,科学教师,Science Teacher,EDU,2330,
EDU-0113,图书馆教师/媒体专员,School Library Media Specialist,EDU,2622,
EDU-0201,大学教授,University Professor,EDU,2310,
EDU-0202,大学讲师,University Lecturer,EDU,2310,
EDU-0203,博士后研究员,Postdoctoral Researcher,EDU,2310,
EDU-0204,助教,Teaching Assistant,EDU,2310,
EDU-0205,大学招生官,University Admissions Officer,EDU,2424,
EDU-0206,终身教职教授,Tenured Professor,EDU,2310,
EDU-0207,学术顾问/导师,Academic Advisor,EDU,2424,
EDU-0208,大学兼职讲师/客座教授,Adjunct / Visiting Professor,EDU,2310,
EDU-0301,企业培训师,Corporate Trainer,EDU,2424,
EDU-0302,职业认证讲师,Certification Instructor,EDU,2320,
EDU-0303,职业技术教师,Vocational Education Teacher,EDU,2320,
EDU-0304,驾校教练,Driving Instructor,EDU,5165,
EDU-0305,语言培训教师,Language Training Teacher,EDU,2353,
EDU-0306,飞行教官,Flight Instructor,EDU,3153,
EDU-0307,礼仪培训师,Etiquette Trainer,EDU,2424,
EDU-0401,在线课程设计师,Online Course Designer,EDU,2424,
EDU-0402,教育科技产品经理,EdTech Product Manager,EDU,2511,
EDU-0403,MOOC讲师,MOOC Instructor,EDU,2310,
EDU-0404,教学设计师,Instructional Designer,EDU,2424,
EDU-0405,在线教育运营,Online Education Operations Manager,EDU,1345,
EDU-0501,自然科学研究员,Natural Science Researcher,EDU,2110,
EDU-0502,社会科学研究员,Social Science Researcher,EDU,2632,
EDU-0503,人文学科研究员,Humanities Researcher,EDU,2633,
EDU-0504,实验室主任,Laboratory Director,EDU,1223,
EDU-0505,研究助理,Research Assistant,EDU,2110,
EDU-0506,学术期刊编辑,Academic Journal Editor,EDU,2641,
EDU-0507,科研基金管理员,Research Grants Administrator,EDU,2422,
EDU-0508,科学传播者/科普作家,Science Communicator,EDU,2641,
EDU-0601,校长(中小学),School Principal,EDU,1345,
EDU-0602,教务主任,Academic Dean,EDU,1345,
EDU-0603,教育政策研究员,Education Policy Researcher,EDU,2632,
EDU-0604,大学校长,University President,EDU,1120,
EDU-0605,教育督导,Education Inspector / Superintendent,EDU,1345,
EDU-0606,招生主任,Director of Admissions,EDU,1345,
EDU-0607,学生事务主任,Dean of Students,EDU,1345,
EDU-0701,幼儿园教师,Kindergarten Teacher,EDU,2342,
EDU-0702,蒙特梭利教师,Montessori Teacher,EDU,2342,
EDU-0703,育婴师,Infant Care Specialist / Nanny,EDU,5311,
EDU-0704,早教中心教师,Early Childhood Center Teacher,EDU,2342,
EDU-0705,儿童发展评估师,Child Development Assessor,EDU,2634,
EDU-0801,学习障碍辅导师,Learning Disability Specialist,EDU,2352,
EDU-0802,教育心理学家,Educational Psychologist,EDU,2634,
EDU-0803,手语教师/翻译,Sign Language Teacher/Interpreter,EDU,2352,
EDU-0804,课后辅导教师/补习教师,After-school Tutor,EDU,2353,
EDU-0805,STEM教育专家,STEM Education Specialist,EDU,2424,
EDU-0806,留学顾问,Study Abroad Counselor / Education Agent,EDU,2424,
EDU-0807,考试出题人/评分员,Test Developer / Exam Grader,EDU,2310,
EDU-0808,教育数据分析师,Education Data Analyst,EDU,2120,
EDU-0809,图书管理员(学校),School Librarian,EDU,2622,
ENG-0101,机械设计工程师,Mechanical Design Engineer,ENG,2144,
ENG-0102,热能工程师,Thermal Engineer,ENG,2144,
ENG-0103,流体力学工程师,Fluid Mechanics Engineer,ENG,2144,
ENG-0104,机器人工程师,Robotics Engineer,ENG,2144,
ENG-0105,CAD/CAM工程师,CAD/CAM Engineer,ENG,2144,
ENG-0106,设备工程师,Equipment Engineer,ENG,2144,
ENG-0107,机电一体化工程师,Mechatronics Engineer,ENG,2144,
ENG-0108,振动与噪声工程师,Vibration & Acoustics Engineer,ENG,2144,
ENG-0109,液压工程师,Hydraulic Systems Engineer,ENG,2144,
ENG-0110,有限元分析工程师(FEA),Finite Element Analysis (FEA) Engineer,ENG,2144,
ENG-0111,3D打印/增材制造工程师,Additive Manufacturing Engineer,ENG,2144,
ENG-0112,包装工程师,Packaging Engineer,ENG,2144,
ENG-0201,电力工程师,Power Engineer,ENG,2151,
ENG-0202,电子工程师,Electronics Engineer,ENG,2152,
ENG-0203,控制工程师,Control Systems Engineer,ENG,2151,
ENG-0204,自动化工程师,Automation Engineer,ENG,2151,
ENG-0205,PLC编程工程师,PLC Programmer,ENG,2151,
ENG-0206,电气设计工程师,Electrical Design Engineer,ENG,2151,
ENG-0207,仪器仪表工程师,Instrumentation Engineer,ENG,2151,
ENG-0208,电磁兼容工程师,EMC Engineer,ENG,2152,
ENG-0209,电力系统规划工程师,Power System Planning Engineer,ENG,2151,
ENG-0210,变电站工程师,Substation Engineer,ENG,2151,
ENG-0211,信号与通信工程师,Signal & Communications Engineer,ENG,2153,
ENG-0212,射频工程师(RF),RF Engineer,ENG,2153,
ENG-0213,光电工程师,Optoelectronics Engineer,ENG,2152,
ENG-0301,化工工艺工程师,Chemical Process Engineer,ENG,2145,
ENG-0302,材料工程师,Materials Engineer,ENG,2146,
ENG-0303,高分子材料工程师,Polymer Engineer,ENG,2146,
ENG-0304,涂料工程师,Coatings Engineer,ENG,2145,
ENG-0305,生物化学工程师,Biochemical Engineer,ENG,2145,
ENG-0306,催化剂工程师,Catalyst Engineer,ENG,2145,
ENG-0307,陶瓷工程师,Ceramic Engineer,ENG,2146,
ENG-0308,纳米材料研究员,Nanomaterials Researcher,ENG,2146,
ENG-0309,食品工程师,Food Engineer,ENG,2145,
ENG-0310,环境化学工程师,Environmental Chemical Engineer,ENG,2145,
ENG-0311,复合材料工程师,Composite Materials Engineer,ENG,2146,
ENG-0312,腐蚀工程师,Corrosion Engineer,ENG,2145,
ENG-0401,结构工程师,Structural Engineer,ENG,2142,
ENG-0402,桥梁工程师,Bridge Engineer,ENG,2142,
ENG-0403,建筑师,Architect,ENG,2161,
ENG-0404,测量工程师,Surveyor,ENG,2165,
ENG-0405,岩土工程师,Geotechnical Engineer,ENG,2142,
ENG-0406,道路工程师,Highway Engineer,ENG,2142,
ENG-0407,水利工程师,Hydraulic Engineer,ENG,2142,
ENG-0408,景观设计师,Landscape Architect,ENG,2162,
ENG-0409,城市规划师,Urban Planner,ENG,2164,
ENG-0410,工程造价师,Quantity Surveyor / Cost Estimator,ENG,2149,
ENG-0411,BIM工程师,BIM Engineer,ENG,2142,
ENG-0412,隧道工程师,Tunnel Engineer,ENG,2142,
ENG-0413,消防工程师,Fire Protection Engineer,ENG,2149,
ENG-0414,地下管网工程师,Underground Utilities Engineer,ENG,2142,
ENG-0415,海洋工程师,Ocean/Marine Engineer,ENG,2142,
ENG-0416,暖通空调设计工程师,HVAC Design Engineer,ENG,2144,
ENG-0417,给排水工程师,Water Supply & Drainage Engineer,ENG,2142,
ENG-0501,飞机设计工程师,Aircraft Design Engineer,ENG,2144,
ENG-0502,航天工程师,Aerospace Engineer,ENG,2144,
ENG-0503,卫星工程师,Satellite Engineer,ENG,2144,
ENG-0504,推进系统工程师,Propulsion Engineer,ENG,2144,
ENG-0505,航空电子工程师,Avionics Engineer,ENG,2152,
ENG-0506,航空结构工程师,Aerospace Structural Engineer,ENG,2144,
ENG-0507,无人机工程师,Drone Engineer / UAV Engineer,ENG,2144,
ENG-0508,航空材料工程师,Aerospace Materials Engineer,ENG,2146,
ENG-0509,飞行测试工程师,Flight Test Engineer,ENG,2144,
ENG-0510,空气动力学工程师,Aerodynamics Engineer,ENG,2144,
ENG-0601,汽车设计工程师,Automotive Design Engineer,ENG,2144,
ENG-0602,新能源汽车工程师,New Energy Vehicle Engineer,ENG,2144,
ENG-0603,自动驾驶工程师,Autonomous Driving Engineer,ENG,2144,
ENG-0604,车辆动力系统工程师,Powertrain Engineer,ENG,2144,
ENG-0605,汽车电子工程师,Automotive Electronics Engineer,ENG,2152,
ENG-0606,汽车安全工程师,Automotive Safety Engineer,ENG,2144,
ENG-0607,汽车NVH工程师,Automotive NVH Engineer,ENG,2144,
ENG-0608,电池系统工程师,Battery Systems Engineer,ENG,2144,
ENG-0609,车身工程师,Vehicle Body Engineer,ENG,2144,
ENG-0610,底盘工程师,Chassis Engineer,ENG,2144,
ENG-0611,汽车标定工程师,Automotive Calibration Engineer,ENG,2144,
ENG-0612,车联网(V2X)工程师,V2X / Connected Vehicle Engineer,ENG,2153,
ENG-0701,芯片设计工程师(IC Designer),IC Design Engineer,ENG,2152,
ENG-0702,半导体制造工程师,Semiconductor Fabrication Engineer,ENG,2152,
ENG-0703,封装测试工程师,Packaging & Testing Engineer,ENG,2152,
ENG-0704,FPGA工程师,FPGA Engineer,ENG,2152,
ENG-0705,半导体工艺工程师,Semiconductor Process Engineer,ENG,2152,
ENG-0706,光刻工程师,Lithography Engineer,ENG,2152,
ENG-0707,EDA工具工程师,EDA Tools Engineer,ENG,2152,
ENG-0708,芯片验证工程师,Chip Verification Engineer,ENG,2152,
ENG-0709,模拟IC设计工程师,Analog IC Design Engineer,ENG,2152,
ENG-0710,晶圆代工工程师,Foundry / Wafer Fab Engineer,ENG,2152,
ENG-0801,核电工程师,Nuclear Power Engineer,ENG,2149,
ENG-0802,核医学物理师,Medical Physicist (Nuclear),ENG,2111,
ENG-0803,辐射防护工程师,Radiation Protection Engineer,ENG,2149,
ENG-0804,核反应堆操作员,Nuclear Reactor Operator,ENG,3131,
ENG-0805,核废料管理工程师,Nuclear Waste Management Engineer,ENG,2149,
ENG-0806,核燃料工程师,Nuclear Fuel Engineer,ENG,2149,
ENG-0901,工厂厂长,Plant Manager,ENG,1321,
