project_id_prefix,sub_category_zh,sub_category_en,major_code,onet_code
MED-0211,肿瘤科护士,Oncology Nurse,MED,29-1141.00
MED-0212,急诊护士,Emergency Room Nurse,MED,29-1141.00
MED-0213,透析护士,Dialysis Nurse,MED,29-1141.00
MED-0301,药剂师,Pharmacist,MED,29-1051.00
MED-0302,临床药师,Clinical Pharmacist,MED,29-1051.00
MED-0303,药品研发科学家,Pharmaceutical R&D Scientist,MED,19-2031.00
MED-0304,药品注册专员,Drug Regulatory Affairs Specialist,MED,11-9121.01
MED-0305,药品销售代表,Pharmaceutical Sales Representative,MED,41-4011.00
MED-0306,药品质量管理员,Pharmaceutical QA Specialist,MED,29-1051.00
MED-0307,药物警戒专员,Pharmacovigilance Specialist,MED,29-1051.00
MED-0401,物理治疗师,Physical Therapist,MED,29-1123.00
MED-0402,职业治疗师,Occupational Therapist,MED,29-1122.00
MED-0403,言语治疗师,Speech-Language Pathologist,MED,29-1127.00
MED-0404,康复医学科医生,Rehabilitation Physician,MED,29-1229.04
MED-0405,呼吸治疗师,Respiratory Therapist,MED,29-1126.00
MED-0406,音乐治疗师,Music Therapist,MED,29-1129.00
MED-0407,艺术治疗师,Art Therapist,MED,29-1129.00
MED-0408,运动治疗师,Exercise Therapist / Kinesiologist,MED,29-1128.00
MED-0409,假肢矫形师,Prosthetist / Orthotist,MED,29-2091.00
MED-0410,听力师,Audiologist,MED,29-1181.00
MED-0501,流行病学家,Epidemiologist,MED,19-1041.00
MED-0502,公共卫生官员,Public Health Officer,MED,11-9111.00
MED-0503,卫生教育专家,Health Education Specialist,MED,21-1091.00
MED-0504,营养师,Dietitian / Nutritionist,MED,29-1031.00
MED-0505,卫生统计师,Biostatistician,MED,15-2041.01
MED-0506,环境卫生工程师,Environmental Health Engineer,MED,17-2081.00
MED-0507,疾控中心研究员,CDC Researcher,MED,19-1042.00
MED-0601,中医师,Traditional Chinese Medicine Practitioner,MED,29-1199.00
MED-0602,针灸师,Acupuncturist,MED,29-1199.00
MED-0603,阿育吠陀医师,Ayurveda Practitioner,MED,29-1199.00
MED-0604,脊椎指压治疗师,Chiropractor,MED,29-1011.00
MED-0605,自然疗法医师,Naturopathic Physician,MED,29-1199.00
MED-0606,推拿师,Tui Na Massage Therapist,MED,31-9011.00
MED-0607,中药师,Chinese Herbal Medicine Pharmacist,MED,29-1199.00
MED-0608,整骨师,Osteopath,MED,29-1199.00
MED-0609,顺势疗法医师,Homeopath,MED,29-1199.00
MED-0701,牙科医生,Dentist,MED,29-1021.00
MED-0702,牙科卫生师,Dental Hygienist,MED,29-1292.00
MED-0703,正畸医生,Orthodontist,MED,29-1023.00
MED-0704,口腔颌面外科医生,Oral & Maxillofacial Surgeon,MED,29-1022.00
MED-0705,牙科技师,Dental Technician,MED,51-9081.00
MED-0706,牙周病医生,Periodontist,MED,29-1024.00
MED-0801,眼科医生,Ophthalmologist,MED,29-1241.00
MED-0802,验光师,Optometrist,MED,29-1041.00
MED-0803,配镜师,Optician / Dispensing Optician,MED,29-2081.00
MED-0901,精神科医生,Psychiatrist,MED,29-1223.00
MED-0902,临床心理学家,Clinical Psychologist,MED,19-3031.02
MED-0903,心理咨询师,Counseling Psychologist,MED,19-3031.03
MED-0904,精神科护士,Psychiatric Nurse,MED,29-1141.00
MED-0905,心理治疗师,Psychotherapist,MED,19-3031.02
MED-0906,成瘾咨询师,Addiction Counselor,MED,21-1011.00
MED-0907,神经心理学家,Neuropsychologist,MED,19-3031.02
MED-0908,儿童心理学家,Child Psychologist,MED,19-3031.02
MED-0909,法医心理学家,Forensic Psychologist,MED,19-3031.02
MED-1001,放射技师,Radiologic Technologist,MED,29-2034.00
MED-1002,医学检验技师,Medical Laboratory Technologist,MED,29-2011.00
MED-1003,超声技师,Diagnostic Medical Sonographer,MED,29-2032.00
MED-1004,核医学技师,Nuclear Medicine Technologist,MED,29-2033.00
MED-1005,病理技师,Histotechnologist,MED,29-2011.00
MED-1006,心电图技师,Electrocardiograph Technician,MED,29-2031.00
MED-1007,MRI技师,MRI Technologist,MED,29-2035.00
MED-1101,医院管理者,Hospital Administrator,MED,11-9111.00
MED-1102,医疗信息化专家,Health Informatics Specialist,MED,15-1211.01
MED-1103,健康保险管理师,Health Insurance Manager,MED,11-9111.00
MED-1104,医疗质量管理师,Healthcare Quality Manager,MED,11-9111.00
MED-1105,临床研究协调员,Clinical Research Coordinator,MED,11-9121.01
MED-1106,医疗编码员,Medical Coder,MED,29-2071.00
MED-1107,急救技术员/急救员,Emergency Medical Technician (EMT),MED,29-2042.00
MED-1108,护理人员(院前急救),Paramedic,MED,29-2043.00
MED-1109,病案编码员,Health Information Technician,MED,29-2072.00
MED-1110,医疗器械技师,Biomedical Equipment Technician,MED,49-9062.00
MED-1111,临床试验管理员,Clinical Trial Manager,MED,11-9121.01
MED-1112,远程医疗协调员,Telemedicine Coordinator,MED,29-9099.00
MED-1113,医疗翻译,Medical Interpreter,MED,27-3091.00
MED-1114,健康数据分析师,Health Data Analyst,MED,15-2051.00
MED-1115,患者体验官,Patient Experience Officer,MED,11-9111.00
MED-1201,小动物兽医,Small Animal Veterinarian,MED,29-1131.00
MED-1202,大动物/农场兽医,Large Animal / Farm Veterinarian,MED,29-1131.00
MED-1203,动物外科兽医,Veterinary Surgeon,MED,29-1131.00
MED-1204,动物急诊兽医,Emergency Veterinarian,MED,29-1131.00
MED-1205,兽医公共卫生专家,Veterinary Public Health Specialist,MED,29-1131.00
MED-1206,动物园兽医,Zoo / Wildlife Veterinarian,MED,29-1131.00
FIN-0101,银行柜员,Bank Teller,FIN,43-3071.00
FIN-0102,客户经理(银行),Bank Relationship Manager,FIN,13-2072.00
FIN-0103,信贷审批员,Credit Analyst,FIN,13-2041.00
FIN-0104,风控专员,Risk Management Specialist,FIN,13-2054.00
FIN-0105,合规专员,Compliance Officer,FIN,13-1041.00
FIN-0106,私人银行家,Private Banker,FIN,13-2052.00
FIN-0107,贸易融资专员,Trade Finance Specialist,FIN,13-2072.00
FIN-0108,银行分行行长,Bank Branch Manager,FIN,11-3031.01
FIN-0109,外汇交易员(银行),Bank FX Trader,FIN,13-2051.00
FIN-0110,信用卡业务经理,Credit Card Business Manager,FIN,11-3031.01
FIN-0111,金融科技产品经理,FinTech Product Manager,FIN,15-1299.09
FIN-0112,反洗钱分析师,Anti-Money Laundering (AML) Analyst,FIN,13-2054.00
FIN-0201,股票分析师,Equity Analyst,FIN,13-2051.00
FIN-0202,基金经理,Fund Manager,FIN,11-3031.01
FIN-0203,投行分析师,Investment Banking Analyst,FIN,13-2051.00
FIN-0204,PE投资经理,Private Equity Manager,FIN,11-3031.02
FIN-0205,风险投资人,Venture Capitalist,FIN,11-3031.02
FIN-0206,量化交易员,Quantitative Trader,FIN,13-2051.00
FIN-0207,债券分析师,Fixed Income Analyst,FIN,13-2051.00
FIN-0208,证券经纪人,Stockbroker,FIN,41-3031.00
FIN-0209,外汇交易员,Forex Trader,FIN,13-2051.00
FIN-0210,财富管理顾问,Wealth Management Advisor,FIN,13-2052.00
FIN-0211,信托经理,Trust Manager,FIN,13-2052.00
FIN-0212,衍生品交易员,Derivatives Trader,FIN,13-2051.00
FIN-0213,商品期货交易员,Commodity Futures Trader,FIN,13-2051.00
FIN-0214,投资组合分析师,Portfolio Analyst,FIN,13-2051.00
FIN-0215,资产管理经理,Asset Manager,FIN,11-3031.02
FIN-0301,精算师,Actuary,FIN,15-2011.00
FIN-0302,保险代理人,Insurance Agent,FIN,41-3021.00
FIN-0303,保险理赔员,Claims Adjuster,FIN,13-1031.02
FIN-0304,保险精算分析师,Actuarial Analyst,FIN,15-2011.00
FIN-0305,保险核保师,Insurance Underwriter,FIN,13-2053.00
FIN-0306,再保险专员,Reinsurance Specialist,FIN,13-2053.00
FIN-0307,保险产品开发师,Insurance Product Developer,FIN,13-2053.00
FIN-0308,保险经纪人,Insurance Broker,FIN,41-3021.00
FIN-0309,损失评估师,Loss Adjuster,FIN,13-1031.02
FIN-0401,注册会计师,Certified Public Accountant (CPA),FIN,13-2011.01
FIN-0402,审计师,Auditor,FIN,13-2011.02
FIN-0403,税务师,Tax Advisor,FIN,13-2082.00
FIN-0404,管理会计师,Management Accountant,FIN,13-2011.01
FIN-0405,法务会计师,Forensic Accountant,FIN,13-2011.01
FIN-0406,会计文员,Bookkeeper / Accounting Clerk,FIN,43-3031.00
FIN-0407,内部审计师,Internal Auditor,FIN,13-2011.02
FIN-0408,财务分析师,Financial Analyst,FIN,13-2051.00
FIN-0409,出纳员,Cashier / Treasury Clerk,FIN,43-3031.00
FIN-0410,ERP财务顾问,ERP Financial Consultant,FIN,13-2011.01
FIN-0501,战略咨询顾问,Strategy Consultant,FIN,13-1111.00
FIN-0502,IT咨询顾问,IT Consultant,FIN,13-1111.00
FIN-0503,人力资源咨询顾问,HR Consultant,FIN,13-1111.00
FIN-0504,运营咨询顾问,Operations Consultant,FIN,13-1111.00
FIN-0505,财务咨询顾问,Financial Advisory Consultant,FIN,13-2052.00
FIN-0506,ESG咨询顾问,ESG Consultant,FIN,13-1111.00
FIN-0507,数字化转型咨询顾问,Digital Transformation Consultant,FIN,13-1111.00
FIN-0508,供应链咨询顾问,Supply Chain Consultant,FIN,13-1111.00
FIN-0601,房地产经纪人,Real Estate Agent,FIN,41-9022.00
FIN-0602,房地产估价师,Real Estate Appraiser,FIN,13-2023.00
FIN-0603,物业管理经理,Property Manager,FIN,11-9141.00
FIN-0604,土地规划师,Land Use Planner,FIN,19-3051.00
FIN-0605,房地产开发商,Real Estate Developer,FIN,11-9021.00
FIN-0606,REITs分析师,REIT Analyst,FIN,13-2051.00
FIN-0607,商业地产经理,Commercial Real Estate Manager,FIN,11-9141.00
FIN-0701,伊斯兰教法合规分析师,Sharia Compliance Analyst,FIN,13-2054.00
FIN-0702,伊斯兰银行产品经理,Islamic Banking Product Manager,FIN,11-3031.01
FIN-0703,伊斯兰金融顾问,Islamic Finance Advisor,FIN,13-2052.00
FIN-0704,塔卡福尔(伊斯兰保险)专员,Takaful Specialist,FIN,13-2053.00
FIN-0705,穆拉巴哈融资专员,Murabaha Finance Specialist,FIN,13-2052.00
FIN-0801,首席执行官(CEO),Chief Executive Officer (CEO),FIN,11-1011.00
FIN-0802,首席运营官(COO),Chief Operating Officer (COO),FIN,11-1011.00
FIN-0803,首席财务官(CFO),Chief Financial Officer (CFO),FIN,11-3031.01
FIN-0804,首席营销官(CMO),Chief Marketing Officer (CMO),FIN,11-2021.00
FIN-0805,首席信息官(CIO),Chief Information Officer (CIO),FIN,11-3021.00
FIN-0806,总经理,General Manager,FIN,11-1021.00
FIN-0807,企业家/创业者,Entrepreneur,FIN,11-1011.00
FIN-0808,董事会秘书,Corporate Secretary,FIN,11-3012.00
FIN-0809,首席技术官(CTO),Chief Technology Officer (CTO),FIN,11-3021.00
FIN-0810,首席人力资源官(CHRO),Chief Human Resources Officer (CHRO),FIN,11-3121.00
FIN-0811,首席数据官(CDO),Chief Data Officer (CDO),FIN,11-3021.00
FIN-0812,首席可持续发展官(CSO),Chief Sustainability Officer (CSO),FIN,11-1011.00
FIN-0813,投资者关系总监,Investor Relations Director,FIN,11-2031.00
FIN-0901,招聘专员,Recruiter,FIN,13-1071.00
FIN-0902,培训与发展经理,Training & Development Manager,FIN,11-3131.00
FIN-0903,薪酬福利经理,Compensation & Benefits Manager,FIN,11-3111.00
FIN-0904,HRBP(人力资源业务伙伴),HR Business Partner,FIN,13-1071.00
FIN-0905,人力资源总监,HR Director,FIN,11-3121.00
FIN-0906,劳动关系专员,Labor Relations Specialist,FIN,13-1075.00
FIN-0907,猎头顾问,Executive Search Consultant / Headhunter,FIN,13-1071.00
FIN-0908,组织发展顾问,Organizational Development Consultant,FIN,13-1111.00
FIN-0909,员工关系专员,Employee Relations Specialist,FIN,13-1071.00
FIN-0910,人才测评顾问,Talent Assessment Consultant,FIN,13-1071.00
FIN-1001,采购经理,Procurement Manager,FIN,11-3061.00
FIN-1002,供应链经理,Supply Chain Manager,FIN,11-3071.01
FIN-1003,国际贸易专员,International Trade Specialist,FIN,13-1199.06
FIN-1004,采购分析师,Procurement Analyst,FIN,13-1023.00
FIN-1005,供应链分析师,Supply Chain Analyst,FIN,13-1081.01
FIN-1006,合同管理专员,Contract Manager,FIN,13-1023.00
FIN-1007,进出口经理,Import/Export Manager,FIN,11-3071.01
FIN-1008,关务经理,Customs Compliance Manager,FIN,13-1041.06
FIN-1101,市场营销经理,Marketing Manager,FIN,11-2021.00
FIN-1102,销售经理,Sales Manager,FIN,11-2022.00
FIN-1103,大客户经理,Key Account Manager,FIN,41-4012.00
FIN-1104,渠道经理,Channel Manager,FIN,11-2022.00
FIN-1105,商务拓展经理(BD),Business Development Manager,FIN,11-2021.00
FIN-1106,CRM分析师,CRM Analyst,FIN,13-1161.00
FIN-1107,数字营销专员,Digital Marketing Specialist,FIN,13-1161.00
FIN-1108,产品营销经理,Product Marketing Manager,FIN,11-2021.00
FIN-1201,加密货币分析师,Cryptocurrency Analyst,FIN,13-2051.00
FIN-1202,DeFi策略师,DeFi Strategist,FIN,13-2051.00
FIN-1203,代币经济学设计师,Tokenomics Designer,FIN,13-2051.00
FIN-1204,智能合约审计师,Smart Contract Auditor,FIN,15-1212.00
FIN-1205,加密合规专员,Crypto Compliance Specialist,FIN,13-1041.00
FIN-1206,量化加密交易员,Quantitative Crypto Trader,FIN,13-2051.00
EDU-0101,小学教师,Elementary School Teacher,EDU,25-2021.00
EDU-0102,中学教师,Secondary School Teacher,EDU,25-2031.00
EDU-0103,特殊教育教师,Special Education Teacher,EDU,25-2054.00
EDU-0104,学校心理咨询师,School Counselor,EDU,21-1012.00
EDU-0105,国际学校教师,International School Teacher,EDU,25-2031.00
EDU-0106,体育教师,Physical Education Teacher,EDU,25-2059.01
EDU-0107,音乐教师,Music Teacher,EDU,25-1121.00
EDU-0108,美术教师,Art Teacher,EDU,25-1121.00
EDU-0109,高中数学教师,High School Math Teacher,EDU,25-2031.00
EDU-0110,信息技术教师,IT / Computer Science Teacher,EDU,25-2031.00
EDU-0111,外语教师(K12),Foreign Language Teacher (K-12),EDU,25-2031.00
EDU-0112,科学教师,Science Teacher,EDU,25-2031.00
EDU-0113,图书馆教师/媒体专员,School Library Media Specialist,EDU,25-4022.00
EDU-0201,大学教授,University Professor,EDU,25-1099.00
EDU-0202,大学讲师,University Lecturer,EDU,25-1099.00
EDU-0203,博士后研究员,Postdoctoral Researcher,EDU,25-1099.00
EDU-0204,助教,Teaching Assistant,EDU,25-1191.00
EDU-0205,大学招生官,University Admissions Officer,EDU,11-9033.00
EDU-0206,终身教职教授,Tenured Professor,EDU,25-1099.00
EDU-0207,学术顾问/导师,Academic Advisor,EDU,21-1012.00
EDU-0208,大学兼职讲师/客座教授,Adjunct / Visiting Professor,EDU,25-1099.00
EDU-0301,企业培训师,Corporate Trainer,EDU,13-1151.00
EDU-0302,职业认证讲师,Certification Instructor,EDU,25-1194.00
EDU-0303,职业技术教师,Vocational Education Teacher,EDU,25-1194.00
EDU-0304,驾校教练,Driving Instructor,EDU,25-3021.00
EDU-0305,语言培训教师,Language Training Teacher,EDU,25-3011.00
EDU-0306,飞行教官,Flight Instructor,EDU,25-3021.00
EDU-0307,礼仪培训师,Etiquette Trainer,EDU,13-1151.00
EDU-0401,在线课程设计师,Online Course Designer,EDU,25-9031.00
EDU-0402,教育科技产品经理,EdTech Product Manager,EDU,15-1299.09
EDU-0403,MOOC讲师,MOOC Instructor,EDU,25-1099.00
EDU-0404,教学设计师,Instructional Designer,EDU,25-9031.00
EDU-0405,在线教育运营,Online Education Operations Manager,EDU,11-9033.00
EDU-0501,自然科学研究员,Natural Science Researcher,EDU,19-2099.00
EDU-0502,社会科学研究员,Social Science Researcher,EDU,19-3099.00
EDU-0503,人文学科研究员,Humanities Researcher,EDU,25-1126.00
EDU-0504,实验室主任,Laboratory Director,EDU,11-9121.01
EDU-0505,研究助理,Research Assistant,EDU,19-4099.00
EDU-0506,学术期刊编辑,Academic Journal Editor,EDU,27-3041.00
EDU-0507,科研基金管理员,Research Grants Administrator,EDU,11-9199.00
EDU-0508,科学传播者/科普作家,Science Communicator,EDU,27-3043.00
EDU-0601,校长(中小学),School Principal,EDU,11-9032.00
EDU-0602,教务主任,Academic Dean,EDU,11-9033.00
EDU-0603,教育政策研究员,Education Policy Researcher,EDU,19-3099.00
EDU-0604,大学校长,University President,EDU,11-9033.00
EDU-0605,教育督导,Education Inspector / Superintendent,EDU,11-9032.00
EDU-0606,招生主任,Director of Admissions,EDU,11-9033.00
EDU-0607,学生事务主任,Dean of Students,EDU,11-9033.00
EDU-0701,幼儿园教师,Kindergarten Teacher,EDU,25-2012.00
EDU-0702,蒙特梭利教师,Montessori Teacher,EDU,25-2011.00
EDU-0703,育婴师,Infant Care Specialist / Nanny,EDU,39-9011.00
EDU-0704,早教中心教师,Early Childhood Center Teacher,EDU,25-2011.00
EDU-0705,儿童发展评估师,Child Development Assessor,EDU,21-1012.00
EDU-0801,学习障碍辅导师,Learning Disability Specialist,EDU,25-2054.00
EDU-0802,教育心理学家,Educational Psychologist,EDU,19-3031.02
EDU-0803,手语教师/翻译,Sign Language Teacher/Interpreter,EDU,27-3091.00
EDU-0804,课后辅导教师/补习教师,After-school Tutor,EDU,25-3098.00
EDU-0805,STEM教育专家,STEM Education Specialist,EDU,25-9031.00
EDU-0806,留学顾问,Study Abroad Counselor / Education Agent,EDU,21-1012.00
EDU-0807,考试出题人/评分员,Test Developer / Exam Grader,EDU,25-9031.00
EDU-0808,教育数据分析师,Education Data Analyst,EDU,15-2051.00
EDU-0809,图书管理员(学校),School Librarian,EDU,25-4022.00
ENG-0101,机械设计工程师,Mechanical Design Engineer,ENG,17-2141.00
ENG-0102,热能工程师,Thermal Engineer,ENG,17-2141.00
ENG-0103,流体力学工程师,Fluid Mechanics Engineer,ENG,17-2141.00
ENG-0104,机器人工程师,Robotics Engineer,ENG,17-2199.08
ENG-0105,CAD/CAM工程师,CAD/CAM Engineer,ENG,17-3013.00
ENG-0106,设备工程师,Equipment Engineer,ENG,17-2141.00
ENG-0107,机电一体化工程师,Mechatronics Engineer,ENG,17-2199.08
ENG-0108,振动与噪声工程师,Vibration & Acoustics Engineer,ENG,17-2141.00
ENG-0109,液压工程师,Hydraulic Systems Engineer,ENG,17-2141.00
ENG-0110,有限元分析工程师(FEA),Finite Element Analysis (FEA) Engineer,ENG,17-2141.00
ENG-0111,3D打印/增材制造工程师,Additive Manufacturing Engineer,ENG,17-2141.00
ENG-0112,包装工程师,Packaging Engineer,ENG,17-2141.00
ENG-0201,电力工程师,Power Engineer,ENG,17-2071.00
ENG-0202,电子工程师,Electronics Engineer,ENG,17-2072.00
ENG-0203,控制工程师,Control Systems Engineer,ENG,17-2072.01
ENG-0204,自动化工程师,Automation Engineer,ENG,17-2072.01
ENG-0205,PLC编程工程师,PLC Programmer,ENG,17-2072.01
ENG-0206,电气设计工程师,Electrical Design Engineer,ENG,17-2071.00
ENG-0207,仪器仪表工程师,Instrumentation Engineer,ENG,17-2072.01
ENG-0208,电磁兼容工程师,EMC Engineer,ENG,17-2072.00
ENG-0209,电力系统规划工程师,Power System Planning Engineer,ENG,17-2071.00
ENG-0210,变电站工程师,Substation Engineer,ENG,17-2071.00
ENG-0211,信号与通信工程师,Signal & Communications Engineer,ENG,17-2061.00
ENG-0212,射频工程师(RF),RF Engineer,ENG,17-2061.00
ENG-0213,光电工程师,Optoelectronics Engineer,ENG,17-2072.00
ENG-0301,化工工艺工程师,Chemical Process Engineer,ENG,17-2041.00
ENG-0302,材料工程师,Materials Engineer,ENG,17-2131.00
ENG-0303,高分子材料工程师,Polymer Engineer,ENG,17-2131.00
ENG-0304,涂料工程师,Coatings Engineer,ENG,17-2041.00
ENG-0305,生物化学工程师,Biochemical Engineer,ENG,17-2041.00
ENG-0306,催化剂工程师,Catalyst Engineer,ENG,17-2041.00
ENG-0307,陶瓷工程师,Ceramic Engineer,ENG,17-2131.00
ENG-0308,纳米材料研究员,Nanomaterials Researcher,ENG,17-2131.00
ENG-0309,食品工程师,Food Engineer,ENG,17-2041.00
ENG-0310,环境化学工程师,Environmental Chemical Engineer,ENG,17-2041.00
ENG-0311,复合材料工程师,Composite Materials Engineer,ENG,17-2131.00
ENG-0312,腐蚀工程师,Corrosion Engineer,ENG,17-2041.00
ENG-0401,结构工程师,Structural Engineer,ENG,17-2051.00
ENG-0402,桥梁工程师,Bridge Engineer,ENG,17-2051.00
ENG-0403,建筑师,Architect,ENG,17-1011.00
ENG-0404,测量工程师,Surveyor,ENG,17-1022.00
ENG-0405,岩土工程师,Geotechnical Engineer,ENG,17-2051.00
ENG-0406,道路工程师,Highway Engineer,ENG,17-2051.00
ENG-0407,水利工程师,Hydraulic Engineer,ENG,17-2051.01
ENG-0408,景观设计师,Landscape Architect,ENG,17-1012.00
ENG-0409,城市规划师,Urban Planner,ENG,19-3051.00
ENG-0410,工程造价师,Quantity Surveyor / Cost Estimator,ENG,13-1051.00
ENG-0411,BIM工程师,BIM Engineer,ENG,17-2051.00
ENG-0412,隧道工程师,Tunnel Engineer,ENG,17-2051.00
ENG-0413,消防工程师,Fire Protection Engineer,ENG,17-2111.02
ENG-0414,地下管网工程师,Underground Utilities Engineer,ENG,17-2051.00
ENG-0415,海洋工程师,Ocean/Marine Engineer,ENG,17-2121.00
ENG-0416,暖通空调设计工程师,HVAC Design Engineer,ENG,17-2141.00
ENG-0417,给排水工程师,Water Supply & Drainage Engineer,ENG,17-2051.01
ENG-0501,飞机设计工程师,Aircraft Design Engineer,ENG,17-2011.00
ENG-0502,航天工程师,Aerospace Engineer,ENG,17-2011.00
ENG-0503,卫星工程师,Satellite Engineer,ENG,17-2011.00
ENG-0504,推进系统工程师,Propulsion Engineer,ENG,17-2011.00
ENG-0505,航空电子工程师,Avionics Engineer,ENG,17-2011.00
ENG-0506,航空结构工程师,Aerospace Structural Engineer,ENG,17-2011.00
