id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source,generated_date,data_snapshot_date,source_period,median_salary_rmb
TECH-0512-CN-general,信息技术与数字化,TECH,新兴数字职业,MLOps工程师,MLOps Engineer,2522,15-1244.00,东亚,中国,CN,country,general,本科/硕士,23-30,global,6.4,5.6,9.2,6.7,8.7,6.1,8.8,8.6,8.8,8.0,5.5,9.5,6.2,3.4,4.4,7.8,6.9,1.1,6.3,7.7,7.6,6.4,4.5,7.4,6.8,4.8,5.5,5.6,0.7,0.3,4.1,6.3,7.9,2.8,4,5,↑↑,2032-2038,6.94,中国MLOps工程师：薪资回报高，人才需求旺盛，加班文化严重,"China MLOps Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,754000
TECH-0106-CN-general,信息技术与数字化,TECH,软件开发,DevOps工程师,DevOps Engineer,2522,15-1244.00,东亚,中国,CN,country,general,本科,22-30,global,5.9,5.3,8.4,7.0,8.5,8.1,8.3,8.0,8.3,8.0,6.1,9.6,5.8,3.1,4.7,8.0,6.9,1.4,6.0,7.2,7.9,6.6,4.7,7.1,6.7,4.8,6.0,5.4,0.8,0.4,4.0,6.5,7.6,2.4,4,4,↑↑,2032-2038,6.9,中国DevOps工程师：薪资回报高，人才需求旺盛，加班文化严重,"China DevOps Engineer: high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,664000
TECH-0103-CN-general,信息技术与数字化,TECH,软件开发,全栈工程师,Full-stack Engineer,2514,15-1252.00,东亚,中国,CN,country,general,本科/自学,21-28,global,6.3,5.2,8.5,6.3,8.9,8.5,6.9,6.9,7.9,8.0,5.5,9.5,6.2,3.4,4.2,9.1,7.5,1.9,5.4,7.4,8.5,7.1,4.8,7.4,8.9,5.6,5.3,5.3,1.0,0.4,5.5,8.5,7.8,1.3,4,3,↑,2028-2033,6.86,中国全栈工程师：远程友好度高，加班文化严重,"China Full-stack Engineer: highly remote-friendly, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,545000
EDU-0402-CN-general,教育与学术,EDU,在线教育,教育科技产品经理,EdTech Product Manager,2511,15-1299.09,东亚,中国,CN,country,general,本科/硕士,25-33,global,6.3,5.3,8.2,7.1,9.1,7.6,7.4,7.2,7.3,7.1,6.0,9.6,6.2,3.5,3.7,8.1,7.8,2.4,6.1,7.5,9.8,7.6,4.4,7.9,8.7,5.8,6.3,7.7,0.5,1.4,5.3,6.9,7.2,3.2,5,5,↑↑,2032-2038,6.85,中国教育科技产品经理：加班文化严重，远程友好度高，近年增长迅猛,"China EdTech Product Manager: heavy overtime culture, highly remote-friendly, rapid recent growth",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026,291000
TECH-0204-CN-general,信息技术与数字化,TECH,人工智能与数据,数据工程师,Data Engineer,2523,15-1243.00,东亚,中国,CN,country,general,本科/硕士,22-28,global,6.1,5.3,8.5,6.9,8.6,7.6,8.2,7.8,8.0,8.1,6.2,9.5,6.3,3.9,4.2,7.3,7.2,1.1,5.6,7.0,8.2,6.5,5.1,6.6,6.6,5.4,5.8,4.9,1.2,0.4,4.3,6.0,7.5,2.2,4,4,↑↑,2028-2033,6.84,中国数据工程师：薪资回报高，人才需求旺盛，近年增长迅猛,"China Data Engineer: high compensation, strong talent demand, rapid recent growth",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,566000
TECH-0206-CN-general,信息技术与数字化,TECH,人工智能与数据,计算机视觉工程师,Computer Vision Engineer,2511,15-2051.00,东亚,中国,CN,country,general,硕士/博士,24-30,global,7.5,7.6,8.5,6.9,8.7,6.0,8.8,8.9,9.5,7.9,5.7,9.4,6.2,4.0,4.3,7.2,6.5,1.1,6.4,8.0,7.2,6.9,4.3,7.7,7.5,4.3,5.2,5.0,0.8,0.4,4.9,6.1,7.8,3.2,4,5,↑↑,2032-2038,6.83,中国计算机视觉工程师：薪资回报高，人才需求旺盛，近年增长迅猛,"China Computer Vision Engineer: high compensation, strong talent demand, rapid recent growth",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1026000
TECH-0401-CN-general,信息技术与数字化,TECH,产品与设计,产品经理,Product Manager,2511,15-1299.09,东亚,中国,CN,country,general,本科/硕士,24-30,global,5.7,5.4,9.1,7.2,9.4,7.7,6.4,6.5,8.0,7.4,5.1,9.6,6.4,2.9,4.0,8.5,7.8,2.4,6.6,7.7,7.1,7.1,4.6,7.6,9.1,5.7,6.5,8.2,0.7,0.4,5.9,6.2,6.7,1.7,4,3,↑,2032-2038,6.83,中国产品经理：薪资回报高，加班文化严重,"China Product Manager: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,583000
TECH-0109-CN-general,信息技术与数字化,TECH,软件开发,站点可靠性工程师(SRE),Site Reliability Engineer (SRE),2522,15-1244.00,东亚,中国,CN,country,general,本科,23-30,global,6.5,5.8,8.5,7.1,8.3,6.1,8.3,8.0,8.6,8.1,6.5,9.5,5.1,2.8,4.0,7.4,7.2,1.1,6.2,7.4,7.8,6.8,4.1,6.8,6.0,4.8,5.8,5.3,0.8,0.6,4.0,5.1,8.3,3.1,4,4,↑↑,2032-2038,6.77,中国站点可靠性工程师(SRE)：薪资回报高，人才需求旺盛，加班文化严重,"China Site Reliability Engineer (SRE): high compensation, strong talent demand, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,751000
TECH-0102-CN-general,信息技术与数字化,TECH,软件开发,后端工程师,Back-end Engineer,2514,15-1252.00,东亚,中国,CN,country,general,本科,21-28,global,5.8,5.3,8.1,7.1,8.9,9.3,6.5,6.2,7.6,7.6,6.0,9.5,6.0,3.6,4.6,7.8,7.4,1.3,5.0,7.4,7.8,6.7,4.5,7.3,7.4,5.8,6.0,4.8,0.9,0.6,5.0,7.2,7.4,1.6,4,3,↑,2028-2033,6.72,中国后端工程师：发展平稳,China Back-end Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,484000
TECH-0505-CN-general,信息技术与数字化,TECH,新兴数字职业,量子计算研究员,Quantum Computing Researcher,2120,15-2051.00,东亚,中国,CN,country,general,博士,27-35,global,9.5,9.4,7.7,7.9,6.3,2.8,9.3,10.0,9.7,5.8,6.5,9.5,7.2,4.0,4.5,5.0,4.9,0.5,9.0,9.6,6.7,7.9,4.8,9.0,5.2,4.6,4.5,5.1,0.6,1.1,3.8,3.7,8.6,5.1,3,5,↑↑,2035+,6.72,中国量子计算研究员：薪资回报高，人才需求旺盛，AI替代抗性强,"China Quantum Computing Researcher: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,1147000
TECH-0405-CN-general,信息技术与数字化,TECH,产品与设计,技术项目经理,Technical Project Manager,1330,15-1299.09,东亚,中国,CN,country,general,本科/硕士,26-35,global,5.8,5.4,7.8,7.7,8.6,7.8,6.1,6.2,8.0,6.9,5.7,9.5,6.3,3.2,4.3,8.1,7.8,1.8,6.6,7.8,7.3,6.3,4.8,6.6,7.4,6.0,6.9,8.1,0.7,1.7,5.2,5.6,7.2,1.7,3,2,↑,2032-2038,6.72,中国技术项目经理：薪资回报高，加班文化严重,"China Technical Project Manager: high compensation, heavy overtime culture",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,586000
EDU-0401-CN-general,教育与学术,EDU,在线教育,在线课程设计师,Online Course Designer,2424,25-9031.00,东亚,中国,CN,country,general,本科/硕士(教育技术),24-32,global,5.2,4.9,7.6,7.1,8.6,8.1,6.6,6.0,5.9,6.9,6.5,9.6,6.3,4.2,4.3,7.1,7.0,1.7,5.0,6.4,9.9,6.9,6.0,7.1,7.3,6.7,7.0,5.3,0.3,1.9,4.1,8.3,6.6,2.1,5,4,↑↑,2028-2033,6.67,中国在线课程设计师：远程友好度高，近年增长迅猛,"China Online Course Designer: highly remote-friendly, rapid recent growth",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026,165000
TECH-0403-CN-general,信息技术与数字化,TECH,产品与设计,UX设计师,UX Designer,2166,15-1255.00,东亚,中国,CN,country,general,本科/硕士,22-28,global,5.3,5.2,7.3,6.7,8.3,6.9,5.9,6.1,7.2,6.9,5.5,9.5,6.6,4.3,4.2,7.3,6.9,1.6,6.1,6.7,8.0,6.5,5.7,7.4,7.7,7.2,6.0,6.9,0.4,0.5,5.6,7.4,6.9,1.8,4,3,↑,2032-2038,6.65,中国UX设计师：发展平稳,China UX Designer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,408000
EDU-0404-CN-general,教育与学术,EDU,在线教育,教学设计师,Instructional Designer,2424,25-9031.00,东亚,中国,CN,country,general,本科/硕士(教育技术),24-32,global,5.4,5.9,7.1,7.3,7.9,7.3,7.0,6.1,5.4,6.6,6.1,9.6,6.0,4.9,4.7,7.3,6.8,1.1,5.5,6.0,9.7,6.9,6.4,7.1,6.6,7.0,7.3,5.9,0.4,2.3,3.5,7.5,6.5,2.2,4,3,↑,2028-2033,6.63,中国教学设计师：远程友好度高,China Instructional Designer: highly remote-friendly,AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026,133000
TECH-0514-CN-general,信息技术与数字化,TECH,新兴数字职业,数字无障碍专家,Digital Accessibility Specialist,2514,15-1255.00,东亚,中国,CN,country,general,本科,22-30,global,4.4,3.8,6.7,6.7,7.5,4.8,7.1,7.1,6.2,6.3,5.8,9.4,6.6,5.3,5.2,5.9,5.9,1.4,6.1,6.1,8.2,5.9,6.0,7.7,5.8,7.5,6.9,6.2,0.3,0.7,3.3,6.5,6.4,1.6,3,4,↑↑,2032-2038,6.62,中国数字无障碍专家：近年增长迅猛,China Digital Accessibility Specialist: rapid recent growth,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,278000
TECH-0101-CN-general,信息技术与数字化,TECH,软件开发,前端工程师,Front-end Engineer,2514,15-1254.00,东亚,中国,CN,country,general,本科/自学,20-28,global,5.0,4.8,7.5,5.9,8.9,10.0,6.2,5.9,7.4,7.9,5.0,9.4,6.2,3.6,4.3,7.6,7.4,1.6,4.9,6.7,8.7,6.6,4.9,6.8,8.0,6.3,5.3,5.2,1.0,0.3,5.8,8.0,7.0,1.8,4,2,↑,2028-2033,6.62,中国前端工程师：远程友好度高,China Front-end Engineer: highly remote-friendly,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,453000
MED-0905-CN-general,医疗与健康,MED,心理健康,心理治疗师,Psychotherapist,2634,19-3031.02,东亚,中国,CN,country,general,硕士/博士,26-32,global,7.6,7.4,7.5,8.5,8.1,7.3,8.0,7.4,6.2,6.3,7.4,8.5,4.6,3.8,3.7,6.3,6.0,1.9,8.0,7.0,6.6,7.1,4.9,9.1,8.0,6.3,7.5,9.2,0.7,7.8,1.9,7.1,5.2,2.4,4,5,↑↑,2035+,6.59,中国心理治疗师：人才需求旺盛，AI替代抗性强，远程友好度高,"China Psychotherapist: strong talent demand, strong AI resistance, highly remote-friendly",AI综合评估 + O*NET/ILO/WHO锚点校准,2026-04-13,2026-04-13,2000-2026,209000
EDU-0110-CN-general,教育与学术,EDU,K12教育,信息技术教师,IT / Computer Science Teacher,2330,25-2031.00,东亚,中国,CN,country,general,本科(计算机/教育),22-30,global,5.5,5.6,6.2,7.7,7.7,7.2,7.1,8.0,6.0,6.4,8.9,9.6,6.0,4.7,4.0,7.4,7.0,1.8,6.3,6.9,6.1,6.0,5.6,7.1,5.9,5.7,6.9,7.8,1.6,5.8,1.4,7.3,5.4,2.5,4,4,↑↑,2032-2038,6.58,中国信息技术教师：就业稳定，近年增长迅猛,"China IT / Computer Science Teacher: stable employment, rapid recent growth",AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026,173000
ENG-1202-CN-general,工程与制造,ENG,生物医学工程,医疗器械设计工程师,Medical Device Design Engineer,2149,17-2031.00,东亚,中国,CN,country,general,硕士,24-30,global,6.9,7.1,7.9,8.2,7.6,6.3,8.0,7.7,8.1,7.1,6.9,7.9,6.2,4.6,4.5,7.3,6.6,0.7,7.9,8.1,4.5,6.4,5.2,8.5,5.5,5.2,5.7,5.3,2.5,5.7,3.9,3.7,7.2,4.6,4,4,↑↑,2035+,6.57,中国医疗器械设计工程师：薪资回报高，人才需求旺盛，AI替代抗性强,"China Medical Device Design Engineer: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,508000
MED-0901-CN-general,医疗与健康,MED,心理健康,精神科医生,Psychiatrist,2212,29-1223.00,东亚,中国,CN,country,general,博士/医学学位,30-36,global,9.5,9.7,7.3,8.5,8.3,7.1,8.5,8.7,8.0,6.2,7.7,8.7,5.0,3.7,3.4,6.1,5.6,1.9,7.7,8.6,5.8,7.2,4.9,8.4,7.4,6.2,7.4,9.1,1.0,8.8,1.7,6.1,5.5,2.3,4,5,↑↑,2035+,6.55,中国精神科医生：薪资回报高，人才需求旺盛，AI替代抗性强,"China Psychiatrist: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/WHO锚点校准,2026-04-13,2026-04-13,2000-2026,423000
MED-0903-CN-general,医疗与健康,MED,心理健康,心理咨询师,Counseling Psychologist,2634,19-3031.03,东亚,中国,CN,country,general,硕士/博士,26-32,global,6.6,6.7,7.6,8.7,7.9,7.3,7.2,7.5,5.2,6.0,7.9,8.6,5.2,3.8,3.9,6.2,6.1,1.9,7.2,7.0,6.7,7.2,5.1,8.5,7.7,6.3,7.6,9.0,0.8,6.7,1.7,6.2,5.6,2.4,4,5,↑↑,2032-2038,6.55,中国心理咨询师：远程友好度高，近年增长迅猛，职业成就感高,"China Counseling Psychologist: highly remote-friendly, rapid recent growth, high career fulfillment",AI综合评估 + O*NET/ILO/WHO锚点校准,2026-04-13,2026-04-13,2000-2026,154000
ENG-1201-CN-general,工程与制造,ENG,生物医学工程,生物医学工程师,Biomedical Engineer,2149,17-2031.00,东亚,中国,CN,country,general,硕士,24-30,global,7.1,7.1,7.4,8.2,8.2,6.7,7.7,8.0,8.2,6.8,7.2,7.9,6.2,4.5,4.4,6.9,6.2,0.6,7.8,8.0,4.1,6.5,5.3,8.0,5.3,5.2,5.6,5.4,2.6,4.4,3.9,3.7,7.1,4.4,4,4,↑↑,2035+,6.54,中国生物医学工程师：薪资回报高，人才需求旺盛，AI替代抗性强,"China Biomedical Engineer: high compensation, strong talent demand, strong AI resistance",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,528000
LAW-0113-CN-general,法律与社会服务,LAW,律师各专业,隐私与数据保护律师,Privacy & Data Protection Lawyer,2611,23-1011.00,东亚,中国,CN,country,general,法学博士/硕士+技术背景,25-32,global,7.8,7.7,8.9,6.8,8.3,4.9,7.9,8.1,8.9,7.8,6.8,9.3,5.9,3.5,4.0,7.1,6.7,1.7,6.0,8.7,6.4,6.9,4.4,6.7,7.5,6.2,5.6,7.1,0.6,8.5,3.0,3.8,7.5,3.5,4,5,↑↑,2032-2038,6.52,中国隐私与数据保护律师：薪资回报高，准入门槛高，近年需求增长,"China Privacy & Data Protection Lawyer: high compensation, high entry barrier, growing demand",AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,757000
MED-0902-CN-general,医疗与健康,MED,心理健康,临床心理学家,Clinical Psychologist,2634,19-3031.02,东亚,中国,CN,country,general,硕士/博士,26-32,global,7.4,7.5,7.9,8.6,8.2,7.1,7.7,7.2,6.5,5.9,7.9,8.6,4.7,4.0,3.9,6.2,6.1,1.8,7.3,6.9,6.3,7.0,4.6,8.5,7.8,6.5,7.8,9.3,1.0,7.4,2.1,5.7,5.2,2.4,4,5,↑↑,2032-2038,6.52,中国临床心理学家：人才需求旺盛，近年增长迅猛，职业成就感高,"China Clinical Psychologist: strong talent demand, rapid recent growth, high career fulfillment",AI综合评估 + O*NET/ILO/WHO锚点校准,2026-04-13,2026-04-13,2000-2026,239000
TECH-0105-CN-general,信息技术与数字化,TECH,软件开发,嵌入式软件工程师,Embedded Software Engineer,2514,15-1252.00,东亚,中国,CN,country,general,本科/硕士,22-28,global,6.4,5.9,7.4,7.2,7.4,7.1,7.4,7.9,7.7,6.8,6.9,9.5,6.6,4.2,4.1,5.8,5.5,0.5,6.6,7.5,4.9,6.4,4.9,7.3,5.8,4.5,6.5,4.5,1.8,0.8,4.5,5.1,6.6,2.8,3,3,↑,2032-2038,6.5,中国嵌入式软件工程师：发展平稳,China Embedded Software Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准,2026-04-13,2026-04-13,2000-2026,498000
FIN-0904-CN-general,金融与商业,FIN,人力资源,HRBP(人力资源业务伙伴),HR Business Partner,2423,13-1071.00,东亚,中国,CN,country,general,本科,22-28,global,4.8,5.2,7.5,7.6,7.5,8.0,6.5,5.0,7.4,6.9,6.7,9.5,6.8,4.8,5.1,6.4,6.1,1.2,5.9,6.3,6.5,6.1,5.7,6.1,5.6,7.2,6.3,8.6,0.7,2.9,4.9,4.6,5.9,2.4,2,3,↑,2028-2033,6.5,中国HRBP(人力资源业务伙伴)：发展平稳,China HR Business Partner: steady development,AI综合评估 + O*NET/ILO/BIS锚点校准,2026-04-13,2026-04-13,2000-2026,487000
MED-0904-CN-general,医疗与健康,MED,心理健康,精神科护士,Psychiatric Nurse,2221,29-1141.00,东亚,中国,CN,country,general,大专/本科,22-26,global,5.5,5.5,7.3,8.4,8.0,7.0,8.1,8.0,5.2,5.9,7.6,7.2,5.1,4.3,3.8,6.3,5.9,2.0,7.4,6.9,5.6,6.9,4.6,8.7,7.3,6.8,7.4,9.2,1.0,7.8,2.2,5.8,5.1,2.2,4,4,↑↑,2032-2038,6.5,中国精神科护士：人才需求旺盛，近年增长迅猛，职业成就感高,"China Psychiatric Nurse: strong talent demand, rapid recent growth, high career fulfillment",AI综合评估 + O*NET/ILO/WHO锚点校准,2026-04-13,2026-04-13,2000-2026,140000
EDU-0805-CN-general,教育与学术,EDU,特殊教育与辅助,STEM教育专家,STEM Education Specialist,2424,25-9031.00,东亚,中国,CN,country,general,硕士(STEM+教育),25-33,global,6.1,6.0,6.8,8.1,6.7,6.1,6.6,7.1,5.6,6.4,7.3,9.5,5.7,4.5,4.0,7.3,6.6,1.7,6.9,7.1,6.4,6.8,5.6,7.4,6.6,6.3,6.8,7.3,2.0,3.9,2.6,7.2,6.0,2.3,4,4,↑↑,2032-2038,6.5,中国STEM教育专家：近年增长迅猛,China STEM Education Specialist: rapid recent growth,AI综合评估 + O*NET/ILO/UNESCO锚点校准,2026-04-13,2026-04-13,2000-2026,156000
