id,major_category,major_code,mid_category,sub_category,sub_category_en,isco_code,onet_code,region,country_or_region,iso_code,type,employer_type,typical_education,typical_entry_age,locality,learning_cost,education_req,growth_coeff,career_lifespan,opportunity,market_size,supply_demand,developed_scarcity,value_added,cost_performance,stability,safety,occupational_disease,overtime,burnout,skill_versatility,career_switch,reputation_variance,ai_resistance,social_status,remote_friendly,autonomy,family_friendly,fulfillment,entrepreneurship,gender_equality,age_flexibility,social_interaction,physical_demand,license_barrier,cycle_sensitivity,side_job_compat,intl_mobility,industry_monopoly,trend_2000_2026,trend_5yr,demand_direction,ai_timeline,composite_index,summary_zh,summary_en,data_source
ENG-0101-PH-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东南亚,菲律宾,PH,country,general,本科/硕士,22-28,global,5.9,5.8,5.4,7.1,5.9,5.9,5.2,5.8,5.6,5.9,6.4,7.2,5.4,5.2,4.8,6.6,5.5,1.3,6.3,6.1,3.6,6.1,5.3,6.2,4.2,4.9,6.3,5.0,3.6,2.9,5.7,3.9,6.7,3.4,2,1,→,2032-2038,5.7,菲律宾机械设计工程师：发展平稳,Philippines Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-IN-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南亚,印度,IN,country,general,本科/硕士,22-28,global,5.9,6.4,6.0,7.4,6.1,6.8,6.0,5.6,6.6,6.2,6.5,7.2,5.1,4.9,4.7,6.7,5.9,1.4,6.7,6.5,3.7,5.7,5.6,6.3,4.3,4.0,6.7,5.2,3.8,2.7,5.6,4.1,6.8,3.2,2,1,→,2032-2038,5.87,印度机械设计工程师：发展平稳,India Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-PK-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南亚,巴基斯坦,PK,country,general,本科/硕士,22-28,global,5.9,6.1,5.2,7.0,5.5,6.3,5.5,4.6,5.4,5.3,6.3,6.9,5.1,5.5,4.7,6.3,5.1,2.0,6.6,6.3,3.7,5.9,5.4,6.6,4.2,3.7,6.6,4.8,3.8,2.8,5.4,3.6,5.8,3.4,1,1,→,2032-2038,5.52,巴基斯坦机械设计工程师：发展平稳,Pakistan Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-BD-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南亚,孟加拉国,BD,country,general,本科/硕士,22-28,global,5.9,6.0,4.9,7.4,5.8,5.9,5.3,4.9,4.9,5.6,6.0,6.8,5.0,5.3,4.9,6.2,5.3,1.7,6.3,6.0,3.5,5.6,5.6,6.1,4.3,3.3,6.3,4.8,3.3,2.7,5.7,3.9,6.0,3.3,1,1,→,2032-2038,5.47,孟加拉国机械设计工程师：发展平稳,Bangladesh Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-AE-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,中亚/西亚,阿联酋,AE,country,general,本科/硕士,22-28,global,5.8,6.0,5.6,8.0,6.1,6.4,5.8,5.4,7.9,6.6,7.4,7.8,5.6,5.8,5.1,6.7,5.5,1.4,6.4,7.2,4.1,5.8,5.8,6.4,4.4,4.4,6.5,5.2,3.4,2.9,5.4,4.3,7.6,3.0,2,1,→,2032-2038,6.11,阿联酋机械设计工程师：发展平稳,United Arab Emirates Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-IL-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,中亚/西亚,以色列,IL,country,general,本科/硕士,22-28,global,6.0,6.4,5.9,7.2,6.5,6.5,6.0,6.4,7.9,7.0,7.1,7.9,6.0,5.5,5.0,6.5,5.7,1.0,6.7,7.2,4.2,6.0,6.3,6.6,4.7,5.4,6.8,5.2,3.4,2.9,5.4,3.9,7.2,3.4,2,1,→,2032-2038,6.22,以色列机械设计工程师：发展平稳,Israel Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-SA-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,中亚/西亚,沙特阿拉伯,SA,country,general,本科/硕士,22-28,global,5.9,5.8,5.2,7.6,5.7,6.5,5.5,5.4,7.0,6.3,7.2,7.4,5.3,5.7,5.2,6.6,5.4,1.4,6.7,6.4,3.7,6.1,5.6,6.7,4.2,3.4,6.4,5.2,3.2,2.8,5.7,4.3,6.3,3.5,2,1,→,2032-2038,5.89,沙特阿拉伯机械设计工程师：发展平稳,Saudi Arabia Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-TR-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,中亚/西亚,土耳其,TR,country,general,本科/硕士,22-28,global,6.3,6.0,5.6,7.0,5.9,6.4,5.8,5.7,6.0,5.7,6.7,7.3,5.2,5.4,4.9,6.7,5.6,1.6,6.5,6.2,3.7,5.9,5.3,6.3,4.8,4.3,6.3,4.9,3.4,2.7,5.5,3.9,6.5,3.2,2,1,→,2032-2038,5.76,土耳其机械设计工程师：发展平稳,Turkey Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-GB-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,西欧,英国,GB,country,general,本科/硕士,22-28,global,6.0,6.1,5.5,8.1,6.1,6.8,5.8,6.1,7.7,6.6,8.0,8.1,5.6,6.2,5.6,6.7,5.9,1.3,6.8,7.2,4.0,6.3,6.5,6.9,4.5,5.4,6.6,4.7,3.2,3.4,5.1,4.2,7.6,3.2,2,1,→,2032-2038,6.28,英国机械设计工程师：就业稳定,United Kingdom Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-FR-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,西欧,法国,FR,country,general,本科/硕士,22-28,global,6.2,6.2,5.8,7.6,6.3,6.8,5.7,6.1,7.5,6.5,8.0,7.9,5.9,6.6,5.7,6.5,5.5,1.2,6.3,7.1,3.9,6.2,6.7,6.5,4.6,5.3,7.0,5.0,3.3,3.5,5.2,4.2,7.4,2.8,2,1,→,2032-2038,6.22,法国机械设计工程师：就业稳定,France Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-DE-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,西欧,德国,DE,country,general,本科/硕士,22-28,global,6.1,6.3,6.0,7.8,7.0,7.6,6.3,6.2,8.0,6.7,8.2,8.2,6.1,7.0,5.7,6.9,5.6,1.0,6.7,7.4,4.3,6.4,6.8,7.0,4.9,5.3,6.9,5.2,3.6,3.7,5.2,3.9,7.4,2.7,2,2,↑,2032-2038,6.46,德国机械设计工程师：薪资回报高，就业稳定,"Germany Mechanical Design Engineer: high compensation, stable employment",AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-NL-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,西欧,荷兰,NL,country,general,本科/硕士,22-28,global,6.0,6.3,5.8,7.8,6.6,6.8,5.5,6.3,7.8,6.3,8.1,8.2,6.3,6.8,5.7,7.0,5.9,1.2,6.4,6.9,4.6,6.4,7.3,6.7,4.9,5.8,6.8,5.0,3.4,3.2,5.4,4.4,7.4,2.9,2,1,→,2032-2038,6.37,荷兰机械设计工程师：就业稳定,Netherlands Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-CH-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,西欧,瑞士,CH,country,general,本科/硕士,22-28,global,5.9,6.1,6.2,8.2,6.9,7.1,5.8,6.3,8.3,7.0,8.4,8.2,6.1,6.8,6.0,7.0,6.1,1.1,6.8,7.1,4.3,6.4,6.8,6.6,4.6,5.4,6.8,4.8,3.3,3.2,5.4,4.2,7.4,3.0,2,2,↑,2032-2038,6.49,瑞士机械设计工程师：薪资回报高，就业稳定,"Switzerland Mechanical Design Engineer: high compensation, stable employment",AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-SE-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北欧,瑞典,SE,country,general,本科/硕士,22-28,global,6.5,6.2,5.9,7.9,6.4,6.9,6.2,6.0,7.5,6.7,8.0,8.1,6.4,7.0,6.2,7.0,5.9,1.2,6.5,7.1,4.2,6.3,7.1,7.0,5.1,5.9,6.8,4.8,3.5,3.3,5.0,4.5,7.7,2.9,2,1,→,2032-2038,6.41,瑞典机械设计工程师：就业稳定,Sweden Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-DK-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北欧,丹麦,DK,country,general,本科/硕士,22-28,global,6.1,6.3,6.0,7.9,6.2,6.5,5.7,6.1,7.4,6.6,8.2,8.1,6.1,7.4,6.0,6.6,5.8,1.3,6.4,7.0,4.5,6.7,7.1,6.9,4.5,6.2,6.9,4.9,3.8,3.2,5.1,4.2,7.4,3.1,2,1,→,2032-2038,6.36,丹麦机械设计工程师：就业稳定,Denmark Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-FI-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北欧,芬兰,FI,country,general,本科/硕士,22-28,global,6.2,6.3,5.8,8.0,6.2,7.1,5.6,6.1,7.1,6.2,7.7,8.2,6.5,7.1,5.8,6.8,5.6,1.4,6.7,7.0,4.3,6.3,7.1,6.9,4.4,6.4,6.9,5.1,3.7,3.6,5.1,4.3,7.0,3.0,2,1,→,2032-2038,6.29,芬兰机械设计工程师：就业稳定,Finland Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-IT-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南欧,意大利,IT,country,general,本科/硕士,22-28,global,6.1,6.3,5.4,7.4,6.6,7.0,5.8,5.7,6.9,6.2,7.0,7.7,5.7,5.8,5.1,6.5,5.8,1.4,6.8,6.5,4.1,5.8,6.4,6.8,4.9,4.3,6.9,4.8,3.4,3.3,5.3,4.0,6.7,3.0,2,1,→,2032-2038,6.02,意大利机械设计工程师：发展平稳,Italy Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-ES-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南欧,西班牙,ES,country,general,本科/硕士,22-28,global,6.3,6.3,5.9,7.5,6.2,6.7,5.4,5.4,6.4,6.1,7.4,7.8,5.9,5.7,5.4,6.6,5.4,1.5,6.4,6.6,3.9,6.4,6.4,6.3,4.2,4.9,6.3,4.9,3.3,3.3,5.4,4.2,6.6,2.9,2,1,→,2032-2038,5.95,西班牙机械设计工程师：发展平稳,Spain Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-PT-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南欧,葡萄牙,PT,country,general,本科/硕士,22-28,global,6.1,5.9,5.8,7.2,6.1,6.3,5.3,5.4,6.5,5.7,7.2,7.8,6.1,5.8,5.5,6.7,5.2,1.5,6.6,6.7,4.4,5.8,6.2,6.5,4.6,5.2,6.4,4.7,3.2,3.1,5.5,3.9,7.0,3.3,2,1,→,2032-2038,5.95,葡萄牙机械设计工程师：发展平稳,Portugal Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-PL-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东欧,波兰,PL,country,general,本科/硕士,22-28,global,5.9,6.3,5.7,7.8,6.0,6.6,5.8,5.2,6.6,6.2,7.6,7.5,6.0,6.1,5.6,6.7,5.7,1.6,6.3,6.7,4.3,6.5,6.2,6.5,4.9,4.7,6.5,4.8,3.6,3.3,5.6,4.0,7.1,3.0,2,1,→,2032-2038,6.02,波兰机械设计工程师：就业稳定,Poland Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-CZ-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东欧,捷克,CZ,country,general,本科/硕士,22-28,global,6.0,6.4,5.9,7.9,6.5,7.2,6.0,5.5,6.9,6.4,7.9,7.9,5.8,6.4,5.7,6.5,5.7,1.6,6.3,6.7,4.0,6.3,6.7,6.5,4.6,4.9,6.7,5.0,3.6,3.3,5.4,4.0,6.9,2.9,2,1,→,2032-2038,6.13,捷克机械设计工程师：就业稳定,Czech Republic Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-RU-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,东欧,俄罗斯,RU,country,general,本科/硕士,22-28,global,6.2,6.4,5.6,7.2,6.3,6.8,5.6,5.3,6.2,6.3,6.7,7.3,5.6,5.6,5.0,6.4,5.4,1.5,6.3,6.5,4.1,5.8,5.9,6.8,4.3,4.7,6.7,5.1,3.2,2.9,5.4,3.9,5.4,3.0,2,1,→,2032-2038,5.82,俄罗斯机械设计工程师：发展平稳,Russia Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-US-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北美,美国,US,country,general,本科/硕士,22-28,global,6.4,6.5,5.9,7.5,6.8,6.9,5.8,6.3,8.4,7.3,7.2,8.2,5.7,5.2,4.8,6.7,5.6,1.3,6.5,7.6,3.9,6.0,6.2,6.5,4.7,5.3,7.0,5.0,3.5,3.5,5.5,4.1,7.6,2.7,2,2,↑,2032-2038,6.23,美国机械设计工程师：薪资回报高,United States Mechanical Design Engineer: high compensation,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-CA-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北美,加拿大,CA,country,general,本科/硕士,22-28,global,6.0,6.1,5.4,7.9,6.2,6.7,6.1,6.1,7.3,6.4,7.9,8.2,6.1,5.9,5.4,6.7,5.5,1.4,6.7,7.0,4.2,6.2,6.7,6.5,4.6,5.6,6.7,4.8,3.3,3.4,5.3,4.0,7.9,2.9,2,1,→,2032-2038,6.23,加拿大机械设计工程师：就业稳定,Canada Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-MX-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,北美,墨西哥,MX,country,general,本科/硕士,22-28,global,6.0,6.0,5.3,7.4,6.1,6.9,5.1,5.3,6.2,5.5,6.4,7.2,5.5,5.2,4.9,6.4,5.4,1.5,6.5,6.1,3.7,5.8,5.6,6.2,4.4,4.5,6.4,4.9,3.6,2.8,5.4,4.3,6.2,3.1,2,1,→,2032-2038,5.72,墨西哥机械设计工程师：发展平稳,Mexico Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-BR-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南美,巴西,BR,country,general,本科/硕士,22-28,global,5.7,6.0,5.5,7.3,6.1,6.6,5.4,5.5,6.5,6.0,6.4,7.2,5.2,5.4,5.1,6.6,5.4,1.5,6.7,6.6,3.8,6.1,6.0,6.5,4.7,4.3,6.3,5.0,3.6,2.9,5.3,4.1,6.0,3.1,2,1,→,2032-2038,5.84,巴西机械设计工程师：发展平稳,Brazil Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-AR-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南美,阿根廷,AR,country,general,本科/硕士,22-28,global,6.0,6.0,5.2,7.4,5.9,6.2,5.3,5.3,5.6,5.6,6.1,7.2,5.1,5.3,5.3,6.4,5.7,1.7,6.5,6.1,3.9,6.1,5.7,6.3,4.2,4.4,6.1,4.9,3.8,3.1,6.0,3.9,6.1,3.5,2,1,→,2032-2038,5.64,阿根廷机械设计工程师：发展平稳,Argentina Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-CL-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南美,智利,CL,country,general,本科/硕士,22-28,global,5.8,6.1,5.5,7.2,5.5,5.8,5.7,5.7,6.1,6.1,7.1,7.6,5.5,5.6,5.0,6.4,5.5,1.5,6.6,6.4,3.9,6.2,6.0,6.2,4.2,4.5,6.2,5.1,3.5,3.0,5.5,4.0,6.5,3.3,2,1,→,2032-2038,5.83,智利机械设计工程师：发展平稳,Chile Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-CO-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,南美,哥伦比亚,CO,country,general,本科/硕士,22-28,global,5.8,6.1,5.1,7.4,5.4,6.1,5.4,5.4,5.6,5.8,6.4,7.1,5.2,5.2,5.0,6.6,5.0,1.4,6.7,6.3,3.7,5.8,5.6,6.2,4.2,4.0,6.7,4.9,3.7,2.9,5.9,4.3,5.9,3.2,2,1,→,2032-2038,5.65,哥伦比亚机械设计工程师：发展平稳,Colombia Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-AU-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,大洋洲,澳大利亚,AU,country,general,本科/硕士,22-28,global,6.1,6.4,5.6,7.6,6.2,6.1,5.9,6.2,7.6,6.8,8.0,8.1,6.3,6.7,5.8,6.7,5.5,1.0,6.8,7.1,4.0,6.5,6.9,6.8,4.3,5.9,6.6,4.7,3.5,3.2,5.5,4.0,7.4,3.0,2,1,→,2032-2038,6.3,澳大利亚机械设计工程师：就业稳定,Australia Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-NZ-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,大洋洲,新西兰,NZ,country,general,本科/硕士,22-28,global,5.9,6.2,5.3,7.9,5.8,5.8,5.8,5.4,7.4,6.5,8.1,8.1,6.4,6.8,5.9,6.6,5.6,1.5,6.5,6.9,4.1,6.0,7.1,6.2,4.6,6.1,6.6,4.8,3.7,3.3,5.4,4.4,7.4,2.9,2,1,→,2032-2038,6.19,新西兰机械设计工程师：就业稳定,New Zealand Mechanical Design Engineer: stable employment,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-ZA-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,非洲,南非,ZA,country,general,本科/硕士,22-28,global,6.3,5.9,5.2,7.4,5.7,6.3,5.1,5.4,5.9,5.7,6.9,7.4,5.1,5.9,5.2,6.5,5.2,1.6,6.3,6.2,4.1,5.9,6.0,6.7,4.3,4.8,6.7,5.3,3.3,2.8,5.3,4.2,6.6,3.2,2,1,→,2032-2038,5.78,南非机械设计工程师：发展平稳,South Africa Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
ENG-0101-NG-general,工程与制造,ENG,机械工程,机械设计工程师,Mechanical Design Engineer,2144,17-2141.00,非洲,尼日利亚,NG,country,general,本科/硕士,22-28,global,6.0,5.8,5.1,7.0,5.5,5.9,5.1,4.9,5.1,5.5,6.2,6.9,4.8,5.1,4.8,6.5,5.1,1.9,6.7,6.3,3.7,6.0,5.2,6.1,4.0,3.5,6.0,4.8,3.3,2.4,5.6,3.8,5.6,3.4,1,0,→,2032-2038,5.47,尼日利亚机械设计工程师：发展平稳,Nigeria Mechanical Design Engineer: steady development,AI综合评估 + O*NET/ILO/OECD锚点校准
